[0326/203430.129:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0426/215944.470:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0426/215944.470:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0426/215944.470:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0426/215944.474:WARNING:stun_port.cc(426)] Port[d6e9c38:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0426/220248.128:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0426/220248.128:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0426/220248.128:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0426/220248.129:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0426/220248.129:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0426/220248.129:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0426/220248.129:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0426/220248.129:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0426/220248.165:WARNING:stun_port.cc(426)] Port[d6e9c38:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0426/220343.006:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0426/220343.006:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0426/220343.006:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0426/220343.006:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0426/220343.006:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0426/220343.007:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0426/220343.007:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0426/220343.007:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0426/220343.058:WARNING:stun_port.cc(426)] Port[54af8e0:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0426/220509.107:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0426/220509.107:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0426/220509.107:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0426/220509.107:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0426/220509.107:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0426/220509.107:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0426/220509.107:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0426/220509.107:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0426/220509.296:WARNING:stun_port.cc(426)] Port[d6e9f60:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0426/220659.093:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0426/220659.093:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0426/220659.093:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0426/220659.093:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0426/220659.093:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0426/220659.093:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0426/220659.093:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0426/220659.093:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0426/220659.097:WARNING:stun_port.cc(426)] Port[54aef68:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0426/220717.558:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0426/220717.558:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0426/220717.558:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0426/220717.558:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0426/220717.558:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0426/220717.558:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0426/220717.558:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0426/220717.558:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0426/220717.627:WARNING:stun_port.cc(426)] Port[d6e9910:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0426/221041.310:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0426/221041.311:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0426/221041.311:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0426/221041.311:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0426/221041.311:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0426/221041.311:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0426/221041.311:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0426/221041.311:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0426/221041.343:WARNING:stun_port.cc(426)] Port[54b0258:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/073345.962:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/073345.979:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/073345.979:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/073345.979:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/073345.979:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/073345.979:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/073345.979:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/073345.980:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/073346.588:WARNING:stun_port.cc(426)] Port[d9edc50:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/073513.927:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/073513.927:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/073513.927:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/073513.927:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/073513.927:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/073513.927:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/073513.928:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/073513.928:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/073513.977:WARNING:stun_port.cc(426)] Port[c2c9fe8:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/073600.763:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/073600.764:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/073600.764:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/073600.764:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/073600.764:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/073600.764:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/073600.764:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/073600.764:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/073600.772:WARNING:stun_port.cc(426)] Port[d9ed928:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/073825.918:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/073825.918:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/073825.918:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/073825.918:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/073825.918:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/073825.918:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/073825.918:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/073825.918:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/073826.241:WARNING:stun_port.cc(426)] Port[d9edc50:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/073910.973:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/073910.974:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/073910.974:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
